"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0203595720727117,0.0537657485333274,1697,0.378671786929397,0.704978974388498
"StimulusAngry",0.0147970173962454,0.0257048070912052,1697,0.575651758200052,0.564926912649575
"StimulusHappy",-0.137661818531003,0.0257047737384877,1697,-5.35549621761043,9.69829817566519e-08
"TreatmentOxazepam",-0.0604407085946424,0.0341053765852829,68,-1.77217537661565,0.0808449837133512
"IRI_EC_z",0.0116658733626212,0.0168356535776901,68,0.692926669510491,0.490715443478891
"Wave",-0.011590841340595,0.0290511526470562,68,-0.398980428811645,0.691157843200393
"StimulusAngry:TreatmentOxazepam",0.0569537680826444,0.0345163760616852,1697,1.6500506304851,0.0991176387719117
"StimulusHappy:TreatmentOxazepam",0.0326051522989893,0.0345029785354318,1697,0.944995292667454,0.344795804804659
"StimulusAngry:IRI_EC_z",-0.00951580837930609,0.0171299165049397,1697,-0.55550815887293,0.578620352951462
"StimulusHappy:IRI_EC_z",-0.0320463210729892,0.0171282462901981,1697,-1.87096335083226,0.0615221310723708
