"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0292398819785498,0.049533933314517,1697,0.590300023074897,0.555068119500031
"StimulusAngry",0.0169620148554797,0.0255916062883427,1697,0.662796022428888,0.507551211261117
"StimulusHappy",-0.133118342386817,0.0255915790454508,1697,-5.20164629741673,2.21496825561628e-07
"TreatmentOxazepam",-0.0618183746250176,0.0331411961323816,68,-1.86530306202847,0.066453770265111
"IRI_F_z",0.0211911574045478,0.0168504729751396,68,1.25760015376496,0.212838218124628
"Wave",-0.0161707634228198,0.0271728088403368,68,-0.595108275991514,0.553746408911784
"StimulusAngry:TreatmentOxazepam",0.0531310008502454,0.0342212826924918,1697,1.5525718696074,0.120711913804727
"StimulusHappy:TreatmentOxazepam",0.0245035321864645,0.0342114046325853,1697,0.716238706057853,0.473942515123793
"StimulusAngry:IRI_F_z",0.00644993986908681,0.0169898710257525,1697,0.379634422139537,0.704264306472674
"StimulusHappy:IRI_F_z",-0.0125083884756361,0.0169835008267124,1697,-0.73650236210207,0.461526828906835
