"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.00889198330115057,0.0503212755140817,1697,0.176704251041138,0.859761787148451
"StimulusAngry",0.0167433896514779,0.025662996054024,1697,0.65243316159309,0.514210141197263
"StimulusHappy",-0.137324586033472,0.0256629332272759,1697,-5.35108690878394,9.93360400539875e-08
"TreatmentOxazepam",-0.0563407501909123,0.0332986422690751,68,-1.69198340688013,0.0952271389090755
"IRI_PD_z",0.00877136715888464,0.0162891806347582,68,0.53847810737442,0.592005401918889
"Wave",-0.00641180855173448,0.0275840378892966,68,-0.232446336445269,0.816889545827503
"StimulusAngry:TreatmentOxazepam",0.0535043447750147,0.034427633738405,1697,1.55411043296098,0.12034454071462
"StimulusHappy:TreatmentOxazepam",0.0320038220624285,0.0344186583192239,1697,0.929839326263146,0.352586528247105
"StimulusAngry:IRI_PD_z",-0.00188194981784379,0.0170901227449525,1697,-0.110119151625146,0.912327900304562
"StimulusHappy:IRI_PD_z",0.0327831459315736,0.0170863873698452,1697,1.91867041417021,0.0551936515879353
