"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0187514786316751,0.0498930680992515,1697,0.375833344110511,0.707087772021548
"StimulusAngry",0.0166834814481076,0.0255479706765019,1697,0.653025700528632,0.513828167683309
"StimulusHappy",-0.131842746003346,0.025547970279665,1697,-5.16059571700247,2.75085338867153e-07
"TreatmentOxazepam",-0.0557392111608341,0.0333412091885764,68,-1.67178133359158,0.0991634032401309
"IRI_PT_z",0.00636694771438102,0.0157527972665044,68,0.404178864659119,0.687349603271423
"Wave",-0.0121718583548418,0.0274817666574991,68,-0.44290669179088,0.659239028504412
"StimulusAngry:TreatmentOxazepam",0.0535787115641645,0.0341278869433405,1697,1.56993931833859,0.116615653838638
"StimulusHappy:TreatmentOxazepam",0.022228974779793,0.0341161122280377,1697,0.651568227681127,0.514767976265115
"StimulusAngry:IRI_PT_z",-0.0194339689346489,0.0169401461986713,1697,-1.1472137670319,0.251454995740359
"StimulusHappy:IRI_PT_z",-0.0220644379118996,0.0169361950043179,1697,-1.30279781888873,0.19282055167877
