"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.00570375678739009,0.0487336586738876,1638,0.117039371608811,0.906843202080266
"StimulusAngry",0.0259200239097072,0.0264812794044563,1638,0.978805574829794,0.327820593035644
"StimulusHappy",-0.129334132684991,0.0264812468175382,1638,-4.88398954838241,1.14106686538432e-06
"TreatmentOxazepam",-0.0648525551238031,0.0335097484924093,67,-1.93533398612328,0.0571714034747407
"PPI_C_z",0.00396306056371767,0.0164584858446824,67,0.240791321942784,0.810452169310321
"Wave",-0.00311454347144328,0.0268824611845789,67,-0.115857824551791,0.908111777484908
"StimulusAngry:TreatmentOxazepam",0.0475980162505336,0.0345852852469168,1638,1.37625050395607,0.168932202475336
"StimulusHappy:TreatmentOxazepam",0.029103499626216,0.0345725794829114,1638,0.841808741537533,0.400017901408282
"StimulusAngry:PPI_C_z",-0.0124033231142271,0.0170370807967981,1638,-0.728019269390221,0.466705845323534
"StimulusHappy:PPI_C_z",0.0186118993367235,0.0170250334827298,1638,1.09320779636665,0.274463320941576
