"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.00522070049382182,0.0492869644204803,1638,0.105924569614039,0.915655169959362
"StimulusAngry",0.0243448270908248,0.026774836227418,1638,0.909242801115444,0.363355739022843
"StimulusHappy",-0.138060458400581,0.0267744547192875,1638,-5.15642465357572,2.82296169005529e-07
"TreatmentOxazepam",-0.0681825264921185,0.0340541932101722,67,-2.00217712019535,0.0493160349785543
"PPI_FD_z",0.00578331225915798,0.0159219945007848,67,0.363227876939218,0.717578178627076
"Wave",-0.0017249233721654,0.0269787414882676,67,-0.0639363912848019,0.949211250159
"StimulusAngry:TreatmentOxazepam",0.05029863032805,0.0352635561375665,1638,1.42636296044081,0.153954160900179
"StimulusHappy:TreatmentOxazepam",0.0439590303087077,0.0352461173472701,1638,1.24720206414771,0.212501709430505
"StimulusAngry:PPI_FD_z",-0.00312610922785709,0.0173663898397256,1638,-0.180009158881492,0.85716764378896
"StimulusHappy:PPI_FD_z",-0.0402856735905142,0.0173567126592361,1638,-2.32104283693818,0.020406752948297
