"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.00800046907431494,0.0479728950633051,1638,0.166770612108306,0.867571126794324
"StimulusAngry",0.0239886260847714,0.0268535662022896,1638,0.893312489822155,0.371821075777231
"StimulusHappy",-0.130367453609171,0.0268532148310261,1638,-4.85481736281889,1.31978756232124e-06
"TreatmentOxazepam",-0.074791331530083,0.0334460281692534,67,-2.23617976853939,0.0286744864191323
"PPI_SCI_z",-0.0255206307875135,0.0169776070912096,67,-1.50319362737092,0.137488296704433
"Wave",-0.00109690458260953,0.0264998003255016,67,-0.041392937649947,0.967105747981298
"StimulusAngry:TreatmentOxazepam",0.050949103794215,0.0353778250668047,1638,1.44014234051999,0.150018228060824
"StimulusHappy:TreatmentOxazepam",0.0308626054852363,0.0353721575200181,1638,0.872511253173356,0.383057409827045
"StimulusAngry:PPI_SCI_z",0.00441779740942945,0.0174271016956591,1638,0.253501556746517,0.799912471470396
"StimulusHappy:PPI_SCI_z",0.0087819541241718,0.017418780291831,1638,0.504165847266031,0.614212643353242
