"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0330845179209378,0.0504720817499787,1719,0.655501353893566,0.51223272866715
"StimulusAngry",0.0163809850258517,0.0261147636037696,1719,0.627269129232597,0.530566140453974
"StimulusHappy",-0.134266633201013,0.0261147633938543,1719,-5.14140722533258,3.03821832975698e-07
"TreatmentOxazepam",-0.0596438000318307,0.0341092753080793,70,-1.74860941761794,0.0847424690338888
"STAI.T_z",-0.00852988074117529,0.0166967015647378,70,-0.510872204794614,0.611048046148666
"Wave",-0.0185445106795872,0.0271227167098952,70,-0.683726150220844,0.496405246827322
"StimulusAngry:TreatmentOxazepam",0.0516497173649343,0.0353990427291751,1719,1.45907101952126,0.144728259426329
"StimulusHappy:TreatmentOxazepam",0.0278855347321234,0.0353883892506156,1719,0.787985419020966,0.430813877450011
"StimulusAngry:STAI.T_z",0.000184573800915525,0.0175410834380303,1719,0.0105223717547205,0.991605737944073
"StimulusHappy:STAI.T_z",0.0062754895898454,0.0175410807812505,1719,0.35775957411662,0.720567167119326
