"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0148899132204266,0.0533072341765663,1651,0.279322561945489,0.780032278742556
"StimulusAngry",0.0126943243842423,0.0269694573227344,1651,0.470692614698679,0.637922436608246
"StimulusHappy",-0.134965512966021,0.0269691840815198,1651,-5.00443441514805,6.20078104945832e-07
"TreatmentOxazepam",-0.0596518874782166,0.035369908481569,66,-1.68651517742266,0.0964184978152024
"TAS.20_z",-0.00197225485374594,0.017414634414276,66,-0.113252727954435,0.910173979988633
"Wave",-0.00894217269950698,0.0290474809316751,66,-0.307846753408345,0.759168368621808
"StimulusAngry:TreatmentOxazepam",0.0587546971897761,0.0362410386521281,1651,1.62122001396684,0.105161409651583
"StimulusHappy:TreatmentOxazepam",0.0257671330005061,0.036234340883844,1651,0.711124650593412,0.47710744695448
"StimulusAngry:TAS.20_z",0.00983416746122246,0.0179516966140803,1651,0.547812703870513,0.583894566070875
"StimulusHappy:TAS.20_z",0.00654762966409277,0.0179467719757403,1651,0.364836064833475,0.715280508356247
