"X1","RatingNo","RatedUnpleasantness","RowNo","valence","instruction"
48,1,9,1,"Negative","Downregulate"
49,1,19,2,"Negative","Downregulate"
50,1,41,3,"Negative","Downregulate"
51,1,20,4,"Negative","Downregulate"
52,1,4,5,"Negative","Downregulate"
53,1,48,6,"Negative","Downregulate"
54,1,42,7,"Negative","Downregulate"
55,1,29,8,"Negative","Downregulate"
56,1,22,9,"Negative","Downregulate"
57,1,24,10,"Negative","Downregulate"
58,1,NA,11,"Negative","Downregulate"
59,1,13,12,"Negative","Downregulate"
60,1,21,13,"Negative","Downregulate"
61,1,15,14,"Negative","Downregulate"
62,1,24,15,"Negative","Downregulate"
63,1,63,16,"Negative","Downregulate"
64,1,96,17,"Negative","Downregulate"
65,1,29,18,"Negative","Downregulate"
66,1,NA,19,"Negative","Downregulate"
67,1,48,20,"Negative","Downregulate"
68,1,1,21,"Negative","Downregulate"
69,1,12,22,"Negative","Downregulate"
70,1,NA,23,"Negative","Downregulate"
71,1,NA,24,"Negative","Downregulate"
72,1,84,25,"Negative","Downregulate"
73,1,NA,26,"Negative","Downregulate"
74,1,NA,27,"Negative","Downregulate"
75,1,9,28,"Negative","Downregulate"
76,1,0,29,"Negative","Downregulate"
77,1,17,30,"Negative","Downregulate"
78,1,36,31,"Negative","Downregulate"
79,1,51,32,"Negative","Downregulate"
80,1,54,33,"Negative","Downregulate"
81,1,0,34,"Negative","Downregulate"
82,1,24,35,"Negative","Downregulate"
83,1,25,36,"Negative","Downregulate"
84,1,10,37,"Negative","Downregulate"
85,1,50,38,"Negative","Downregulate"
86,1,11,39,"Negative","Downregulate"
48,2,11,1,"Negative","Downregulate"
49,2,8,2,"Negative","Downregulate"
50,2,7,3,"Negative","Downregulate"
51,2,29,4,"Negative","Downregulate"
52,2,7,5,"Negative","Downregulate"
53,2,14,6,"Negative","Downregulate"
54,2,33,7,"Negative","Downregulate"
55,2,24,8,"Negative","Downregulate"
56,2,0,9,"Negative","Downregulate"
57,2,41,10,"Negative","Downregulate"
58,2,NA,11,"Negative","Downregulate"
59,2,15,12,"Negative","Downregulate"
60,2,24,13,"Negative","Downregulate"
61,2,0,14,"Negative","Downregulate"
62,2,0,15,"Negative","Downregulate"
63,2,91,16,"Negative","Downregulate"
64,2,3,17,"Negative","Downregulate"
65,2,20,18,"Negative","Downregulate"
66,2,NA,19,"Negative","Downregulate"
67,2,23,20,"Negative","Downregulate"
68,2,10,21,"Negative","Downregulate"
69,2,37,22,"Negative","Downregulate"
70,2,NA,23,"Negative","Downregulate"
71,2,NA,24,"Negative","Downregulate"
72,2,78,25,"Negative","Downregulate"
73,2,NA,26,"Negative","Downregulate"
74,2,NA,27,"Negative","Downregulate"
75,2,14,28,"Negative","Downregulate"
76,2,0,29,"Negative","Downregulate"
77,2,36,30,"Negative","Downregulate"
78,2,9,31,"Negative","Downregulate"
79,2,26,32,"Negative","Downregulate"
80,2,39,33,"Negative","Downregulate"
81,2,0,34,"Negative","Downregulate"
82,2,62,35,"Negative","Downregulate"
83,2,16,36,"Negative","Downregulate"
84,2,33,37,"Negative","Downregulate"
85,2,11,38,"Negative","Downregulate"
86,2,16,39,"Negative","Downregulate"
48,3,12,1,"Negative","Downregulate"
49,3,23,2,"Negative","Downregulate"
50,3,23,3,"Negative","Downregulate"
51,3,19,4,"Negative","Downregulate"
52,3,23,5,"Negative","Downregulate"
53,3,31,6,"Negative","Downregulate"
54,3,64,7,"Negative","Downregulate"
55,3,34,8,"Negative","Downregulate"
56,3,20,9,"Negative","Downregulate"
57,3,46,10,"Negative","Downregulate"
58,3,NA,11,"Negative","Downregulate"
59,3,11,12,"Negative","Downregulate"
