"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",20.1689948605407,1.9916544140611,2071,10.1267542793305,1.47189422934898e-23
"instruction1",10.1684933219546,0.812952707093028,2071,12.5080994665918,1.16576344658266e-34
"valence1",28.8779308610415,0.812952707093031,2071,35.5222765224605,3.05869605584416e-216
"Treatment1",-1.0110936196447,3.98975550135506,30,-0.25342245140117,0.801670469851335
"IRI_EC_z",1.73876040755956,2.02824351564864,30,0.857273988130318,0.398090306607089
"instruction1:valence1",12.0223214285712,1.62563717225818,2071,7.3954518472723,2.03575555018315e-13
"instruction1:Treatment1",2.18768326421947,1.62853681470385,2071,1.34334283662927,0.179308165165735
"valence1:Treatment1",-5.52192039431717,1.62853681470386,2071,-3.39072494060953,0.00071016444632398
"instruction1:IRI_EC_z",0.139735888482,0.827887632035683,2071,0.16878605631347,0.865981408911958
"valence1:IRI_EC_z",4.68931799059306,0.827887632035679,2071,5.6641962135158,1.68319340709688e-08
"instruction1:valence1:Treatment1",-2.66964285714285,3.25127434451638,2071,-0.821106610595778,0.411680051453074
