"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",20.1385295317384,2.01975516714349,2071,9.97077757707633,6.65626353138606e-23
"instruction1",10.2808521248589,0.816196453538824,2071,12.5960509633235,4.15208965322123e-35
"valence1",29.0210100316239,0.816196453538827,2071,35.556403002973,1.43910538061995e-216
"Treatment1",-1.2202428732855,4.21118389850734,30,-0.289762428498555,0.773991322261297
"IRI_PD_z",-0.0102603449054671,2.43420042096317,30,-0.0042150781082386,0.996664769082391
"instruction1:valence1",12.0223214285714,1.62900934915957,2071,7.38014268289738,2.27735154331428e-13
"instruction1:Treatment1",1.09484823370802,1.70176733253398,2071,0.643359531457076,0.520062065347432
"valence1:Treatment1",-8.19705642430092,1.70176733253399,2071,-4.8167903259109,1.56460851820545e-06
"instruction1:IRI_PD_z",-2.15094246530906,0.983676528280778,2071,-2.18663595548871,0.0288806573057964
"valence1:IRI_PD_z",-4.24602370649132,0.983676528280781,2071,-4.31648370619588,1.66005784116021e-05
"instruction1:valence1:Treatment1",-2.66964285714285,3.25801869831914,2071,-0.819406855620613,0.412648610015987
