"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",20.1908675454226,2.01761322932285,2071,10.0073033086719,4.68353634309116e-23
"instruction1",10.2243952326936,0.817845819409933,2071,12.5016170408139,1.25762205540772e-34
"valence1",29.0589536409902,0.817845819409936,2071,35.5310902756168,2.51753534981971e-216
"Treatment1",-0.999741517625801,4.07244173673387,30,-0.245489458721539,0.807749144653629
"IRI_PT_z",0.679189341146556,1.98865023834215,30,0.341532828675176,0.7350832791935
"instruction1:valence1",12.0223214285715,1.6308671534754,2071,7.37173558431888,2.42179324990552e-13
"instruction1:Treatment1",2.40908603954345,1.65077696794057,2071,1.45936494531354,0.14461634456045
"valence1:Treatment1",-4.99434826731684,1.65077696794057,2071,-3.02545308319122,0.00251315155957351
"instruction1:IRI_PT_z",0.749931492401443,0.806105580623383,2071,0.930314229832648,0.35231683840533
"valence1:IRI_PT_z",3.39895012822238,0.806105580623383,2071,4.21650737809541,2.58791922482492e-05
"instruction1:valence1:Treatment1",-2.66964285714286,3.2617343069508,2071,-0.818473427297193,0.413181072804003
