"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",21.2806603060067,1.94563729631455,1945,10.9376297146014,4.59469127603866e-27
"instruction1",10.4557201924383,0.848951443528183,1945,12.3160403014159,1.28300029469116e-33
"valence1",30.3262926472406,0.848951443528184,1945,35.7220579320846,2.52875401583576e-215
"Treatment1",-2.42201787022147,3.97139305189476,28,-0.609866069304302,0.546868467862803
"PPI_C_z",-3.28950425677612,2.12322534965588,28,-1.54929586598486,0.132540774189468
"instruction1:valence1",12.4479166666666,1.69729117356415,1945,7.33399010172615,3.26240536669297e-13
"instruction1:Treatment1",1.84591346335353,1.73286144884777,1945,1.06524007708806,0.286899519468229
"valence1:Treatment1",-6.2799557916356,1.73286144884777,1945,-3.62403803016757,0.000297487931794435
"instruction1:PPI_C_z",-0.774952752102624,0.92643949051571,1945,-0.83648501605997,0.402984858168413
"valence1:PPI_C_z",-8.71198966612626,0.926439490515705,1945,-9.40373306115945,1.42829188536777e-20
"instruction1:valence1:Treatment1",-3.52083333333334,3.3945823471283,1945,-1.03719190559977,0.299775355870496
