"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",21.3198521355111,1.97124654697719,1945,10.8154163507371,1.62542336090033e-26
"instruction1",10.4518955542426,0.860380976560269,1945,12.1479854145874,8.76342568125917e-33
"valence1",30.4591565920608,0.86038097656027,1945,35.4019410259789,2.51911087289547e-212
"Treatment1",-2.45018754209109,4.05656339045362,28,-0.604005732501842,0.550702697273437
"PPI_FD_z",-2.44441918375413,1.93097489273634,28,-1.26589899897155,0.215981102565129
"instruction1:valence1",12.4479166666665,1.72052149288323,1945,7.23496725740198,6.66853651291888e-13
"instruction1:Treatment1",2.21867755071975,1.77054969440996,1945,1.25310097633782,0.210319581995431
"valence1:Treatment1",-7.19914476176448,1.77054969440997,1945,-4.06605066465733,4.97222737612484e-05
"instruction1:PPI_FD_z",-1.34099862994144,0.842803791577215,1945,-1.59111603832715,0.111745969169252
"valence1:PPI_FD_z",-4.77058335380796,0.842803791577217,1945,-5.66037243956904,1.73496820844587e-08
"instruction1:valence1:Treatment1",-3.52083333333331,3.44104298576648,1945,-1.02318783807609,0.306346282294586
