"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",21.3570844943855,2.0221828085762,1945,10.5614014736001,2.1589156478779e-25
"instruction1",10.4690471205833,0.866069420549109,1945,12.087999959571,1.73050681006264e-32
"valence1",30.5551303036165,0.86606942054911,1945,35.2802322523335,3.46504218281395e-211
"Treatment1",-3.1090396505633,4.34047932443183,28,-0.716289473621736,0.47974466795839
"PPI_SCI_z",0.731255123828711,2.08299558998236,28,0.351059372062763,0.728171609349576
"instruction1:valence1",12.4479166666667,1.73210429594677,1945,7.18658610558014,9.42609114103564e-13
"instruction1:Treatment1",2.26122464963499,1.85895973275674,1945,1.21639248542609,0.223983037667496
"valence1:Treatment1",-11.3613433787241,1.85895973275675,1945,-6.11166728279573,1.1880708015579e-09
"instruction1:PPI_SCI_z",0.935144812025887,0.892114588241691,1945,1.04823396495399,0.294661061417482
"valence1:PPI_SCI_z",-2.37475112371229,0.892114588241689,1945,-2.66193508660451,0.00783325667730889
"instruction1:valence1:Treatment1",-3.52083333333334,3.46420859189353,1945,-1.01634565007786,0.309591223857878
