"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",20.1559567466028,2.01559483217302,2071,10.0000041798443,5.02481107365576e-23
"instruction1",10.177870925456,0.819494494032025,2071,12.4196940913898,3.27027631726035e-34
"valence1",28.8314727001005,0.819494494032028,2071,35.1820212461045,5.57291202319038e-213
"Treatment1",-0.715434016453276,4.62288296026846,30,-0.154759275240602,0.878047614208862
"STAI.T_z",0.525744264106838,2.38711469186383,30,0.220242565595515,0.827174174260881
"instruction1:valence1",12.0223214285715,1.63764481083112,2071,7.34122646684909,3.02567271245072e-13
"instruction1:Treatment1",2.50125141405941,1.87955787146478,2071,1.33076584234681,0.183412564565401
"valence1:Treatment1",-5.03853411646375,1.87955787146476,2071,-2.68070177192105,0.00740505084037092
"instruction1:STAI.T_z",0.347179486555355,0.970545922910687,2071,0.357715671520371,0.720592555556912
"valence1:STAI.T_z",1.0875267744265,0.970545922910693,2071,1.12053098030125,0.262617479640908
"instruction1:valence1:Treatment1",-2.66964285714285,3.27528962166224,2071,-0.815086042921596,0.415116782320274
