"Subject","event_no","instruction","valence","SCR_mean_instruction","SCR_mean_stimulus","log_SCR_mean_instruction","log_SCR_mean_stimulus"
48,1,"Downregulate","Neutral",1.00007283992349,1.02173247237044,7.28372707884211e-05,0.0214996887963365
48,1,"Downregulate","Negative",0.997471307871109,0.99521992574819,-0.00253189467079997,-0.00479153534457236
48,1,"Upregulate","Neutral",1.00518445784562,0.98962783909683,0.00517106481450725,-0.0104263266333889
48,1,"Upregulate","Negative",1.00816456838712,1.0018810847523,0.00813141861215337,0.00187931772797719
48,2,"Downregulate","Neutral",0.997059125558146,0.996252325153943,-0.00294520731012866,-0.0037547149743454
48,2,"Downregulate","Negative",1.00861708421205,1.04442130801024,0.00858016905763026,0.0434629597892894
48,2,"Upregulate","Neutral",1.02585940503831,1.02083132516351,0.0255307052324167,0.0206173200140306
48,2,"Upregulate","Negative",0.996228436289094,1.00062438985311,-0.00377869399116875,0.000624195002869764
48,3,"Downregulate","Neutral",0.996904627426171,0.993090839982643,-0.00310017314845206,-0.00693313877597773
48,3,"Downregulate","Negative",1.00600565529963,1.00024113883824,0.00598769323195209,0.000241109768944471
48,3,"Upregulate","Neutral",0.997217165427135,0.994020026640867,-0.00278671385560139,-0.00599792500249814
48,3,"Upregulate","Negative",1.07257305828692,1.10480041120841,0.0700604891148417,0.0996646953145496
48,4,"Downregulate","Neutral",0.998330872077224,1.00744793076698,-0.00167052246878686,0.00742033188229178
48,4,"Downregulate","Negative",1.0171434659638,1.0255406809855,0.0169981749283047,0.0252199671588929
48,4,"Upregulate","Neutral",1.00133160810451,0.998850420462187,0.00133072230071342,-0.00115024081120929
48,4,"Upregulate","Negative",0.994216410600017,0.990405636052499,-0.00580037912102232,-0.00964068638494061
48,5,"Downregulate","Neutral",0.998392787222775,0.995699367094743,-0.00160850572923209,-0.00430990722680263
48,5,"Downregulate","Negative",1.00839211645981,1.03003855328873,0.00835709843099106,0.0295962319184524
48,5,"Upregulate","Neutral",0.997026404321046,0.985323635599902,-0.00297802559862471,-0.0147851277145842
48,5,"Upregulate","Negative",0.997528419717601,0.994454537260904,-0.00247463967901418,-0.00556089590004918
48,6,"Downregulate","Neutral",0.999354241095338,1.00009110802468,-0.000645967496748671,9.11038745965854e-05
48,6,"Downregulate","Negative",0.999019214866083,1.0015040322129,-0.000981266418372923,0.00150290228926672
48,6,"Upregulate","Neutral",1.02207497430458,1.01638773958924,0.0218348494670718,0.0162549098067435
48,6,"Upregulate","Negative",1.00130793240839,1.10435870554007,0.00130707780988599,0.0992648095201078
48,7,"Downregulate","Neutral",0.998568041834348,0.996794516730658,-0.00143298439754396,-0.00321063183621126
48,7,"Downregulate","Negative",1.00133205847889,0.997931598594911,0.0013311720760652,-0.0020705435015954
48,7,"Upregulate","Neutral",0.998466920735931,0.997870198405711,-0.00153425563254831,-0.00213207284715662
48,7,"Upregulate","Negative",0.998261396350772,0.997930432131071,-0.0017401167746234,-0.00207171238383453
48,8,"Downregulate","Neutral",0.998736188784808,0.998244333178895,-0.00126461049808551,-0.00175720981034613
48,8,"Downregulate","Negative",1.00448735670801,0.998169680563976,0.00447731854158366,-0.00183199651735193
48,8,"Upregulate","Neutral",1.01578676401348,1.0302919788327,0.0156634491893441,0.029842236665068
48,8,"Upregulate","Negative",0.999735786802372,1.00302595243355,-0.000264248108083943,0.00302138345416922
48,9,"Downregulate","Neutral",0.994052262348278,1.00554569016286,-0.00596549589255884,0.00553036943972972
48,9,"Downregulate","Negative",0.993917282203254,0.986642102357485,-0.00610129288763961,-0.0134479169013639
48,9,"Upregulate","Neutral",0.996866527481563,1.00017794513031,-0.00313839212310061,0.000177929299951561
48,9,"Upregulate","Negative",1.02947592335017,1.06787999534447,0.0290498604712664,0.065675370315035
48,10,"Downregulate","Neutral",0.956290505711994,0.935425760214506,-0.0446935358240013,-0.0667534948194897
48,10,"Downregulate","Negative",0.997937105033606,1.01228686315401,-0.00206502566499153,0.0122119923122574
48,10,"Upregulate","Neutral",0.999252525412833,0.996454636227779,-0.000747754085583726,-0.00355166346857703
48,10,"Upregulate","Negative",0.997191745695489,1.00214760258955,-0.00281220484845156,0.00214529978752119
48,11,"Downregulate","Neutral",0.996415682630307,1.05439141258651,-0.00359075642621606,0.0529637403726485
