"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-0.00795649411832937,0.0369448374621773,1697,-0.215361459540184,0.829511395033132
"StimulusAngry",0.0306781056627321,0.0316025779496601,1697,0.970746934367171,0.331812651242282
"StimulusHappy",0.135982115446734,0.0316025369792192,1697,4.30288604791925,1.78201561069983e-05
"TreatmentOxazepam",-0.0320930690391056,0.04029714943958,68,-0.796410403351847,0.428565279853848
"IRI_EC_z",0.0161618945935445,0.0199384468769718,68,0.810589445269726,0.420429379397964
"Wave2",-0.0526600279285926,0.0337907240017172,68,-1.5584166804451,0.12377680099669
"StimulusAngry:TreatmentOxazepam",-0.0576903572892838,0.0424358799147986,1697,-1.35947121645911,0.174177928815035
"StimulusHappy:TreatmentOxazepam",-8.67500207998148e-05,0.0424194224058297,1697,-0.00204505426712016,0.998368524277037
"StimulusAngry:IRI_EC_z",-0.0254737925234771,0.0210602427591863,1697,-1.20956784851711,0.226613236512864
"StimulusHappy:IRI_EC_z",0.036302468094312,0.0210581910691818,1697,1.72391199106555,0.0849058583423618
