"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0195841576162533,0.0595506726806559,1697,0.328865430643824,0.742297983093771
"StimulusAngry",0.0345003369838739,0.0315065202984798,1697,1.09502213056319,0.273662329351515
"StimulusHappy",0.130592349671047,0.0315064867737732,1697,4.14493531470971,3.566694939903e-05
"TreatmentOxazepam",-0.0255585457868675,0.0399955510112525,68,-0.639034721128776,0.52494713352719
"IRI_F_z",0.00663805323405494,0.0203080482407223,68,0.326868104476142,0.744771676027846
"Wave",-0.0405405537042504,0.0325131087940545,68,-1.24689871894575,0.216712472210059
"StimulusAngry:TreatmentOxazepam",-0.0645594076619881,0.0421307435430224,1697,-1.53235861114254,0.125620356221412
"StimulusHappy:TreatmentOxazepam",0.00952391666355851,0.0421185877453841,1697,0.226121462598239,0.821134182940835
"StimulusAngry:IRI_F_z",-0.00731931439841679,0.0209166873808214,1697,-0.34992703505852,0.726436879903791
"StimulusHappy:IRI_F_z",0.0111440575706004,0.0209088483058766,1697,0.53298285049341,0.594115238754706
