"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0139721307936607,0.0602065468788785,1697,0.23206995780325,0.81651165960947
"StimulusAngry",0.0369200800141447,0.0316356157102342,1697,1.1670416138669,0.24335752601974
"StimulusHappy",0.127366001619911,0.0316355383044191,1697,4.02604186451032,5.92227940828394e-05
"TreatmentOxazepam",-0.0236232928352611,0.0400474560759885,68,-0.58988248318287,0.557224520915855
"IRI_PD_z",0.0025586436952513,0.0196150761440428,68,0.130442710314351,0.896601301366164
"Wave",-0.0379834774647069,0.0328067215766417,68,-1.15779558697968,0.250997964800525
"StimulusAngry:TreatmentOxazepam",-0.0688287637395053,0.0424400655768556,1697,-1.62178740310525,0.105034636979056
"StimulusHappy:TreatmentOxazepam",0.0152769228270298,0.0424290073937157,1697,0.36005845447359,0.718848225394018
"StimulusAngry:IRI_PD_z",-0.0115284551573258,0.0210675515023224,1697,-0.547213811536427,0.584303801324399
"StimulusHappy:IRI_PD_z",0.0146719441458615,0.0210629493260097,1697,0.696575959936618,0.486163604100795
