"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0204294694571482,0.0591137062263995,1697,0.345596152927808,0.729689072285088
"StimulusAngry",0.0350765351025633,0.031469175540335,1697,1.11463152435006,0.265166186081035
"StimulusHappy",0.129776121268337,0.0314691750518744,1697,4.12391240172047,3.90498608073996e-05
"TreatmentOxazepam",-0.026068000086953,0.0397465036464755,68,-0.655856432525846,0.51412954162909
"IRI_PT_z",0.0151134049774406,0.0188585838123679,68,0.801407206808866,0.425687497662016
"Wave",-0.0408566660918279,0.0323084338415754,68,-1.26458206832832,0.210338249115999
"StimulusAngry:TreatmentOxazepam",-0.0655537270685953,0.0420376323822656,1697,-1.55940578366755,0.119086827474212
"StimulusHappy:TreatmentOxazepam",0.0109793600804387,0.04202313906119,1697,0.26126939409385,0.793916470593003
"StimulusAngry:IRI_PT_z",0.0009190218381655,0.0208663283677605,1697,0.0440432941516168,0.964875075218502
"StimulusHappy:IRI_PT_z",-0.00636066630423765,0.0208614649018822,1697,-0.304900271105303,0.760479498000418
