"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0178327108746381,0.0594523493504014,1638,0.299949641510974,0.764253627085513
"StimulusAngry",0.0377916914350385,0.033618053998395,1638,1.12414869215341,0.261114664989706
"StimulusHappy",0.145332126872065,0.0336180126602159,1638,4.32304337382957,1.63157987427307e-05
"TreatmentOxazepam",-0.0259744925739804,0.0411332691808289,67,-0.631471630902763,0.529880804336192
"PPI_C_z",-0.0293283622383015,0.0202064564272125,67,-1.45143520557144,0.151325168747066
"Wave",-0.0409690674873761,0.0325093768217145,67,-1.26022309538739,0.211960512776102
"StimulusAngry:TreatmentOxazepam",-0.0670819325406075,0.0439060987303677,1638,-1.52784999078523,0.126742856682382
"StimulusHappy:TreatmentOxazepam",-0.00548266855210269,0.0438899808140108,1638,-0.124918454062128,0.900603436929823
"StimulusAngry:PPI_C_z",0.0115614288422825,0.0216286075383041,1638,0.534543373714988,0.593038194945771
"StimulusHappy:PPI_C_z",0.00488741687498952,0.0216133248976764,1638,0.226129801783296,0.821128679040991
