"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0171015708258527,0.0604497287753999,1638,0.282905666779637,0.777284896811505
"StimulusAngry",0.0364443888714488,0.0339397722959973,1638,1.07379591570645,0.28307231901575
"StimulusHappy",0.158416154119293,0.0339392889946885,1638,4.667633259615,3.29506896412331e-06
"TreatmentOxazepam",-0.0205802798382806,0.0419958754424877,67,-0.490054788034239,0.625696049528343
"PPI_FD_z",0.00253532185621909,0.0197126856670734,67,0.12861372108489,0.898048601114959
"Wave",-0.0423577561041987,0.0328529666996355,67,-1.28931297107694,0.201722695262575
"StimulusAngry:TreatmentOxazepam",-0.0647276529599686,0.0447000572128136,1638,-1.44804407412288,0.147796099704999
"StimulusHappy:TreatmentOxazepam",-0.0277566673182179,0.04467796543875,1638,-0.621260772410735,0.534514503382942
"StimulusAngry:PPI_FD_z",-0.00850494340604128,0.0220136218360987,1638,-0.386349119166506,0.699288305576882
"StimulusHappy:PPI_FD_z",0.0517780947430036,0.0220013626090854,1638,2.35340399878788,0.0187200397966111
