"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0135512132253467,0.0589550022349629,1638,0.229856885957512,0.818231678975286
"StimulusAngry",0.0400832526845948,0.0339914777679082,1638,1.17921477136948,0.238483916053723
"StimulusHappy",0.133253459421836,0.0339910332596589,1638,3.92025327397102,9.21022341143163e-05
"TreatmentOxazepam",-0.0166289563489061,0.0413299188841267,67,-0.40234669696612,0.688709677511485
"PPI_SCI_z",0.0120771092831016,0.0209298013152778,67,0.577029332537705,0.565853507807254
"Wave",-0.0416573976828245,0.0323400371436321,67,-1.28810605559329,0.202139991577194
"StimulusAngry:TreatmentOxazepam",-0.0709406376198736,0.0447815549541671,1638,-1.58414860074599,0.113352941419912
"StimulusHappy:TreatmentOxazepam",0.0150798248453111,0.0447743851264935,1638,0.336795799712462,0.736313984459038
"StimulusAngry:PPI_SCI_z",-0.00604362871482693,0.0220593709699177,1638,-0.273971035849961,0.784141424111169
"StimulusHappy:PPI_SCI_z",0.0485897721736128,0.0220488438337084,1638,2.20373333586446,0.0276818047359931
