"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0149620711657464,0.0599382847149979,1719,0.249624613665371,0.802907487058463
"StimulusAngry",0.0385673452230789,0.0321268394585853,1719,1.20047119084951,0.23012179703993
"StimulusHappy",0.144448408722546,0.0321268392005131,1719,4.49619110741024,7.38067251608899e-06
"TreatmentOxazepam",-0.0182405099811127,0.0407803057801482,70,-0.447287229268207,0.656048707551417
"STAI.T_z",0.011087213402834,0.0199908757205429,70,0.554613692657827,0.580926708623474
"Wave",-0.0404783513131217,0.0319870716102777,70,-1.26545973968169,0.209902604701577
"StimulusAngry:TreatmentOxazepam",-0.0697052191311087,0.0435485136224823,1719,-1.60063371474343,0.109641818345332
"StimulusHappy:TreatmentOxazepam",-0.0166335496348448,0.0435354161120697,1719,-0.382069384430056,0.702457126719535
"StimulusAngry:STAI.T_z",-0.0101451324881648,0.021579347990305,1719,-0.470131557854421,0.638320665757431
"StimulusHappy:STAI.T_z",-0.0430080705765163,0.0215793447240293,1719,-1.99302022960064,0.0464170791661136
