"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0565824045314365,0.0617714340608913,1651,0.915996291678454,0.359802610647674
"StimulusAngry",0.0130788617233929,0.0320494357121144,1651,0.408083993767454,0.683264925888238
"StimulusHappy",0.136362103341351,0.0320491111468185,1651,4.25478581033558,2.20995005359341e-05
"TreatmentOxazepam",-0.0404039889678288,0.0411665500183512,66,-0.981476197296534,0.329942172307495
"TAS.20_z",-0.0171861625288398,0.0202837523496254,66,-0.847287140594441,0.399897159804999
"Wave",-0.0559329912706174,0.0335022023679472,66,-1.66953177156289,0.0997489666296249
"StimulusAngry:TreatmentOxazepam",-0.0323217907653693,0.043067412692402,1651,-0.750492977050175,0.453064793554693
"StimulusHappy:TreatmentOxazepam",0.00282481309252447,0.0430594568529706,1651,0.0656026178446695,0.947702147265712
"StimulusAngry:TAS.20_z",0.0211098053332356,0.0213330832870679,1651,0.989533723239734,0.322547075146213
"StimulusHappy:TAS.20_z",-0.044433452193087,0.0213272336322269,1651,-2.08341376848543,0.0373670317060341
