"Subject","event_no","Stimulus","EMG_zyg_mean"
9,1,"Angry",-0.0127909765571879
9,1,"Happy",0.0563236468688718
9,1,"Neutral",-0.0127435104668537
9,2,"Angry",-0.0352919307822903
9,2,"Happy",-0.04534527778196
9,2,"Neutral",-0.110383163820892
9,3,"Angry",0.0214010942179034
9,3,"Happy",-0.0259146931227521
9,3,"Neutral",0.00862383413833422
9,4,"Angry",-0.0412196161714064
9,4,"Happy",-0.0199895552235095
9,4,"Neutral",-0.00933983811691446
10,1,"Angry",-0.0354614451776495
10,1,"Happy",0.211562426198304
10,1,"Neutral",0.144369548534901
10,2,"Angry",-0.000333967849027185
10,2,"Happy",0.319955620955595
10,2,"Neutral",-0.256064855276276
10,3,"Angry",-0.0190792656829934
10,3,"Happy",0.0404452119547753
10,3,"Neutral",-0.101214443218151
10,4,"Angry",0.108216965163997
10,4,"Happy",-0.130811501515726
10,4,"Neutral",0.000632501593103645
11,1,"Angry",-0.0918068392532556
11,1,"Happy",1.13153773952244
11,1,"Neutral",-0.0206392350057711
11,2,"Angry",0.00372916407303837
11,2,"Happy",1.00147320507605
11,2,"Neutral",-0.0195471044186418
11,3,"Angry",-0.034827449645975
11,3,"Happy",0.987941167867428
11,3,"Neutral",0.0571858273015301
11,4,"Angry",-0.0236461786391856
11,4,"Happy",0.70590206784843
11,4,"Neutral",-0.0695431456198402
12,1,"Angry",-0.0224750083810026
12,1,"Happy",-0.11713618823462
12,1,"Neutral",-0.667840735994643
12,2,"Angry",-0.0300256262532002
12,2,"Happy",-0.0187501363853077
12,2,"Neutral",0.0756302525791721
12,3,"Angry",0.0308505680502866
12,3,"Happy",0.0334327511950958
12,3,"Neutral",-0.00388957119493735
12,4,"Angry",-0.0777507179035725
12,4,"Happy",0.00541995776326664
12,4,"Neutral",-0.0363897492570069
14,1,"Angry",-0.0461330086301622
14,1,"Happy",0.209226349937336
14,1,"Neutral",-0.117109892896522
14,2,"Angry",-0.0116913515438474
14,2,"Happy",0.0833463386941533
14,2,"Neutral",0.0457875589591789
14,3,"Angry",0.000676070390476293
14,3,"Happy",0.0167859399492708
14,3,"Neutral",-0.122631198900253
14,4,"Angry",-0.0122552735048517
14,4,"Happy",0.0342110452311297
14,4,"Neutral",0.00505395374531368
15,1,"Angry",-0.749744391260222
15,1,"Happy",1.76548733952021
15,1,"Neutral",-0.214384884936199
15,2,"Angry",-0.00845674996147877
15,2,"Happy",1.04507018047528
15,2,"Neutral",0.00850049840312015
15,3,"Angry",0.0383626860574632
15,3,"Happy",0.872061402658378
15,3,"Neutral",0.46081598310228
15,4,"Angry",-1.03253025388503
15,4,"Happy",1.60937214744036
15,4,"Neutral",-0.00685108634537708
16,1,"Angry",-0.368463315184256
16,1,"Happy",-0.163277936767309
